,구,동,계,비율,장애인취업자,대상자_수,수급자_수
292,송파구,위례동,1120.0,0.05502063274,52.0,232.0,135.0
293,송파구,가락1동,556.0,0.02731381411,26.0,115.0,67.0
294,송파구,잠실6동,376.0,0.01847121242,17.0,78.0,45.0
295,송파구,가락본동,748.0,0.03674592258,35.0,155.0,90.0
296,송파구,방이1동,417.0,0.02048536058,19.0,86.0,50.0
297,송파구,삼전동,911.0,0.04475338966,42.0,189.0,110.0
298,송파구,오금동,1430.0,0.07024955787,66.0,296.0,173.0
299,송파구,잠실2동,580.0,0.02849282767,27.0,120.0,70.0
300,송파구,방이2동,772.0,0.03792493614,36.0,160.0,93.0
301,송파구,마천2동,1216.0,0.05973668697,56.0,252.0,147.0
302,송파구,풍납2동,815.0,0.04003733543,38.0,169.0,99.0
303,송파구,오륜동,303.0,0.01488504618,14.0,63.0,37.0
304,송파구,거여1동,620.0,0.03045785027,29.0,128.0,75.0
305,송파구,풍납1동,622.0,0.0305561014,29.0,129.0,75.0
306,송파구,송파1동,704.0,0.03458439772,33.0,146.0,85.0
307,송파구,마천1동,1226.0,0.06022794262,57.0,254.0,148.0
308,송파구,송파2동,502.0,0.0246610336,23.0,104.0,61.0
309,송파구,거여2동,990.0,0.04863430929,46.0,205.0,120.0
310,양천구,신월2동,963.0,0.05495007133,7.0,180.0,118.0
311,양천구,신정4동,1601.0,0.09135520685,12.0,299.0,196.0
312,양천구,신월5동,722.0,0.04119828816,5.0,135.0,88.0
313,양천구,목1동,686.0,0.03914407989,5.0,128.0,84.0
314,양천구,목2동,1058.0,0.06037089872,8.0,198.0,129.0
315,양천구,목3동,907.0,0.05175463623,7.0,169.0,111.0
316,양천구,신정3동,2191.0,0.125021398,16.0,409.0,268.0
317,양천구,신월1동,1260.0,0.07189728959,9.0,235.0,154.0
318,양천구,신월3동,929.0,0.05300998573,7.0,174.0,114.0
319,양천구,신정2동,739.0,0.04216833096,5.0,138.0,90.0
320,양천구,목4동,871.0,0.04970042796,6.0,163.0,107.0
321,양천구,신월6동,449.0,0.02562054208,3.0,84.0,55.0
322,양천구,신정7동,1366.0,0.07794579173,10.0,255.0,167.0
323,양천구,신정6동,462.0,0.02636233951,3.0,86.0,56.0
