,구,동,계,비율
405,송파구,풍납1동,622.0,0.0305561014
406,송파구,풍납2동,815.0,0.04003733543
407,송파구,거여1동,620.0,0.03045785027
408,송파구,거여2동,990.0,0.04863430929
409,송파구,마천1동,1226.0,0.06022794262
410,송파구,마천2동,1216.0,0.05973668697
411,송파구,방이1동,417.0,0.02048536058
412,송파구,방이2동,772.0,0.03792493614
413,송파구,오륜동,303.0,0.01488504618
414,송파구,오금동,1430.0,0.07024955787
415,송파구,송파1동,704.0,0.03458439772
416,송파구,송파2동,502.0,0.0246610336
417,송파구,석촌동,1006.0,0.04942031833
418,송파구,삼전동,911.0,0.04475338966
419,송파구,가락본동,748.0,0.03674592258
420,송파구,가락1동,556.0,0.02731381411
421,송파구,가락2동,932.0,0.04578502653
422,송파구,문정1동,550.0,0.02701906072
423,송파구,문정2동,529.0,0.02598742386
424,송파구,잠실본동,764.0,0.03753193162
425,송파구,잠실4동,437.0,0.02146787188
426,송파구,잠실6동,376.0,0.01847121242
427,송파구,잠실7동,218.0,0.01070937316
428,송파구,잠실2동,580.0,0.02849282767
429,송파구,잠실3동,690.0,0.03389663981
430,송파구,장지동,1322.0,0.06494399686
431,송파구,위례동,1120.0,0.05502063274
433,강동구,강일동,1628.0,0.08746105082
434,강동구,명일1동,856.0,0.04598689159
435,강동구,명일2동,446.0,0.02396045987
436,강동구,고덕1동,681.0,0.03658536585
437,강동구,고덕2동,803.0,0.04313957236
438,강동구,암사2동,500.0,0.0268615021
439,강동구,암사3동,552.0,0.02965509831
440,강동구,천호1동,1420.0,0.07628666595
441,강동구,천호3동,1300.0,0.06983990545
442,강동구,성내1동,645.0,0.0346513377
443,강동구,성내2동,1071.0,0.05753733749
444,강동구,성내3동,876.0,0.04706135167
445,강동구,둔촌1동,3.0,0.0001611690126
446,강동구,둔촌2동,935.0,0.05023100892
447,강동구,암사1동,1681.0,0.09030837004
448,강동구,천호2동,1649.0,0.08858923391
449,강동구,길동,1984.0,0.1065864403
450,강동구,상일1동,1036.0,0.05565703234
451,강동구,상일2동,546.0,0.02933276029
